400DN00051SS, 400CN0010DNS,    25,    1, 400DN0005DSS,  3041,        M,   25,
400DN00052SS, 400CN0010DNS,    35,    1, 400DN0005DSS,  3042,        M,   35,
400DN00053SS, 400CN0010DNS,    26,    2, 400DN0005DSS,  3043,        M,   26,
400DN00054SS, 400CN0010DNS,    36,    2, 400DN0005DSS,  3044,        M,   36,
400DN00100NS, 400CN0010DNS,    11,    5, 400DN0010DNS,  3026,        M,   11,
400DN00100SS, 400CN0010DNS,    23,    5, 400DN0010DSS,  3038,        M,   23,
400DN00101ER, 400CN0070ENR,    25,    1, 400DN0010DER,  3886,        M,   25,
400DN00101NC, 400CN0180DNC,    13,    1, 400DN0010DNC,  3309,        M,   13,
400DN00101NE, 400CN0180DNC,    1,    1, 400DN0010DNE,  3301,        M,   1,
400DN00101NS, 400CN0010DNS,    1,    1, 400DN0010DNS,  3017,        M,   1,
400DN00101SC, 400CN0170DSC,    13,    1, 400DN0010DSC,  3319,        M,   13,
400DN00101SE, 400CN0170DSC,    1,    1, 400DN0010DSE,  3313,        M,   1,
400DN00101SR, 400CN0065DSR,    31,    1, 400DN0010DSR,  3889,        M,   31,
400DN00101SS, 400CN0010DNS,    13,    1, 400DN0010DSS,  3029,        M,   13,
400DN00102NC, 400CN0180DNC,    19,    1, 400DN0010DNC,  3310,        M,   19,
400DN00102NE, 400CN0180DNC,    7,    1, 400DN0010DNE,  3302,        M,   7,
400DN00102NS, 400CN0010DNS,    7,    1, 400DN0010DNS,  3018,        M,   7,
400DN00102SC, 400CN0170DSC,    19,    1, 400DN0010DSC,  3320,        M,   19,
400DN00102SE, 400CN0170DSC,    7,    1, 400DN0010DSE,  3314,        M,   7,
400DN00102SS, 400CN0010DNS,    19,    1, 400DN0010DSS,  3030,        M,   19,
400DN00103ER, 400CN0070ENR,    26,    2, 400DN0010DER,  3887,        M,   26,
400DN00103NC, 400CN0180DNC,    14,    2, 400DN0010DNC,  3311,        M,   14,
400DN00103NE, 400CN0180DNC,    2,    2, 400DN0010DNE,  3303,        M,   2,
400DN00103NS, 400CN0010DNS,    2,    2, 400DN0010DNS,  3019,        M,   2,
400DN00103SC, 400CN0170DSC,    14,    2, 400DN0010DSC,  3321,        M,   14,
400DN00103SE, 400CN0170DSC,    2,    2, 400DN0010DSE,  3315,        M,   2,
400DN00103SS, 400CN0010DNS,    14,    2, 400DN0010DSS,  3031,        M,   14,
400DN00104NC, 400CN0180DNC,    20,    2, 400DN0010DNC,  3312,        M,   20,
400DN00104NE, 400CN0180DNC,    8,    2, 400DN0010DNE,  3304,        M,   8,
400DN00104NS, 400CN0010DNS,    8,    2, 400DN0010DNS,  3020,        M,   8,
400DN00104SC, 400CN0170DSC,    20,    2, 400DN0010DSC,  3322,        M,   20,
400DN00104SE, 400CN0170DSC,    8,    2, 400DN0010DSE,  3316,        M,   8,
400DN00104SS, 400CN0010DNS,    20,    2, 400DN0010DSS,  3032,        M,   20,
400DN00105NE, 400CN0180DNC,    3,    3, 400DN0010DNE,  3305,        M,   3,
400DN00105NS, 400CN0010DNS,    3,    3, 400DN0010DNS,  3021,        M,   3,
400DN00105SE, 400CN0170DSC,    3,    3, 400DN0010DSE,  3317,        M,   3,
400DN00105SS, 400CN0010DNS,    15,    3, 400DN0010DSS,  3033,        M,   15,
400DN00106NE, 400CN0180DNC,    9,    3, 400DN0010DNE,  3306,        M,   9,
400DN00106NS, 400CN0010DNS,    9,    3, 400DN0010DNS,  3022,        M,   9,
400DN00106SE, 400CN0170DSC,    9,    3, 400DN0010DSE,  3318,        M,   9,
400DN00106SS, 400CN0010DNS,    21,    3, 400DN0010DSS,  3034,        M,   21,
400DN00107NE, 400CN0180DNC,    4,    4, 400DN0010DNE,  3307,        M,   4,
400DN00107NS, 400CN0010DNS,    4,    4, 400DN0010DNS,  3023,        M,   4,
400DN00107SS, 400CN0010DNS,    16,    4, 400DN0010DSS,  3035,        M,   16,
400DN00108NE, 400CN0180DNC,    10,    4, 400DN0010DNE,  3308,        M,   10,
400DN00108NS, 400CN0010DNS,    10,    4, 400DN0010DNS,  3024,        M,   10,
400DN00108SS, 400CN0010DNS,    22,    4, 400DN0010DSS,  3036,        M,   22,
400DN00109NS, 400CN0010DNS,    5,    5, 400DN0010DNS,  3025,        M,   5,
400DN00109SS, 400CN0010DNS,    17,    5, 400DN0010DSS,  3037,        M,   17,
400DN0010ANS, 400CN0010DNS,    6,    6, 400DN0010DNS,  3027,        M,   6,
400DN0010ASS, 400CN0010DNS,    18,    6, 400DN0010DSS,  3039,        M,   18,
400DN0010BNS, 400CN0010DNS,    12,    6, 400DN0010DNS,  3028,        M,   12,
400DN0010BSS, 400CN0010DNS,    24,    6, 400DN0010DSS,  3040,        M,   24,
400DN00111SR, 400CN0066DSR,    32,    1, 400DN0011DSR,  6535,        M,   32,
400DN00200NS, 400CN0020GNS,    11,    5, 400DN0020DNS,  3054,        M,   11,
400DN00200SS, 400CN0020GNS,    23,    5, 400DN0020DSS,  3066,        M,   23,
400DN00201NC, 400CN0220DNR,    13,    1, 400DN0020DNC,  3327,        M,   13,
400DN00201NE, 400CN0210DSR,    1,    1, 400DN0020DNE,  3331,        M,   1,
400DN00201NR, 400CN0070ENR,    27,    1, 400DN0020DNR,  3888,        M,   27,
400DN00201NS, 400CN0020GNS,    1,    1, 400DN0020DNS,  3045,        M,   1,
400DN00201SC, 400CN0190DSR,    13,    1, 400DN0020DSC,  3323,        M,   13,
400DN00201SE, 400CN0210DSR,    13,    1, 400DN0020DSE,  3337,        M,   13,
400DN00201SR, 400CN0067DSR,    27,    1, 400DN0020DSR,  3892,        M,   27,
400DN00201SS, 400CN0020GNS,    13,    1, 400DN0020DSS,  3057,        M,   13,
400DN00202NC, 400CN0220DNR,    19,    1, 400DN0020DNC,  3328,        M,   19,
400DN00202NE, 400CN0210DSR,    7,    1, 400DN0020DNE,  3332,        M,   7,
400DN00202NS, 400CN0020GNS,    7,    1, 400DN0020DNS,  3046,        M,   7,
400DN00202SC, 400CN0190DSR,    19,    1, 400DN0020DSC,  3324,        M,   19,
400DN00202SE, 400CN0210DSR,    19,    1, 400DN0020DSE,  3338,        M,   19,
400DN00202SS, 400CN0020GNS,    19,    1, 400DN0020DSS,  3058,        M,   19,
400DN00203NC, 400CN0220DNR,    14,    2, 400DN0020DNC,  3329,        M,   14,
400DN00203NE, 400CN0210DSR,    2,    2, 400DN0020DNE,  3333,        M,   2,
400DN00203NS, 400CN0020GNS,    2,    2, 400DN0020DNS,  3047,        M,   2,
400DN00203SC, 400CN0190DSR,    14,    2, 400DN0020DSC,  3325,        M,   14,
400DN00203SE, 400CN0210DSR,    14,    2, 400DN0020DSE,  3339,        M,   14,
400DN00203SS, 400CN0020GNS,    14,    2, 400DN0020DSS,  3059,        M,   14,
400DN00204NC, 400CN0220DNR,    20,    2, 400DN0020DNC,  3330,        M,   20,
400DN00204NE, 400CN0210DSR,    8,    2, 400DN0020DNE,  3334,        M,   8,
400DN00204NS, 400CN0020GNS,    8,    2, 400DN0020DNS,  3048,        M,   8,
400DN00204SC, 400CN0190DSR,    20,    2, 400DN0020DSC,  3326,        M,   20,
400DN00204SE, 400CN0210DSR,    20,    2, 400DN0020DSE,  3340,        M,   20,
400DN00204SS, 400CN0020GNS,    20,    2, 400DN0020DSS,  3060,        M,   20,
400DN00205NE, 400CN0210DSR,    3,    3, 400DN0020DNE,  3335,        M,   3,
400DN00205NS, 400CN0020GNS,    3,    3, 400DN0020DNS,  3049,        M,   3,
400DN00205SE, 400CN0210DSR,    15,    3, 400DN0020DSE,  3341,        M,   15,
400DN00205SS, 400CN0020GNS,    15,    3, 400DN0020DSS,  3061,        M,   15,
400DN00206NE, 400CN0210DSR,    9,    3, 400DN0020DNE,  3336,        M,   9,
400DN00206NS, 400CN0020GNS,    9,    3, 400DN0020DNS,  3050,        M,   9,
400DN00206SE, 400CN0210DSR,    21,    3, 400DN0020DSE,  3342,        M,   21,
400DN00206SS, 400CN0020GNS,    21,    3, 400DN0020DSS,  3062,        M,   21,
400DN00207NS, 400CN0020GNS,    4,    4, 400DN0020DNS,  3051,        M,   4,
400DN00207SS, 400CN0020GNS,    16,    4, 400DN0020DSS,  3063,        M,   16,
400DN00208NS, 400CN0020GNS,    10,    4, 400DN0020DNS,  3052,        M,   10,
400DN00208SS, 400CN0020GNS,    22,    4, 400DN0020DSS,  3064,        M,   22,
400DN00209NS, 400CN0020GNS,    5,    5, 400DN0020DNS,  3053,        M,   5,
400DN00209SS, 400CN0020GNS,    17,    5, 400DN0020DSS,  3065,        M,   17,
400DN0020ANS, 400CN0020GNS,    6,    6, 400DN0020DNS,  3055,        M,   6,
400DN0020ASS, 400CN0020GNS,    18,    6, 400DN0020DSS,  3067,        M,   18,
400DN0020BNS, 400CN0020GNS,    12,    6, 400DN0020DNS,  3056,        M,   12,
400DN0020BSS, 400CN0020GNS,    24,    6, 400DN0020DSS,  3068,        M,   24,
400DN00300NE, 400CN0260DNC,    11,    5, 400DN0030DNE,  3362,        M,   11,
400DN00300NS, 400CN0030DSS,    11,    5, 400DN0030DNS,  3078,        M,   11,
